                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.8875,                 2.3359,                 2.2368,                 1.7073,                0.40187,                  0.375,                0.24815,                0.07704,                0.43878,                0.41667,                0.30944,                0.11919,                 2.8311,                 2.7364,                 3.0799,                 2.3226,             0.00057403,             0.00057403,             0.00057403
                     74,                 1.8846,                 2.0312,                 2.0312,                 1.6898,                0.43098,                0.41667,                0.27502,                0.09258,                0.46175,                0.45833,                0.32364,                0.13218,                 2.7322,                 2.6782,                 2.8543,                 2.2923,             0.00055422,             0.00055422,             0.00055422
                     75,                 1.7906,                 2.0016,                 2.0888,                 1.6572,                0.35984,                0.42174,                0.26838,                0.09209,                0.42909,                 0.5011,                0.40757,                0.15693,                 2.6436,                 2.6753,                 2.8796,                 2.2378,             0.00053442,             0.00053442,             0.00053442
                     76,                 1.9469,                 2.1366,                 2.2824,                 1.6934,                0.39041,                0.45379,                0.30836,                0.09469,                0.40725,                    0.5,                0.36406,                0.13501,                 2.6029,                 2.6779,                 2.9432,                 2.1974,             0.00051461,             0.00051461,             0.00051461
                     77,                 1.8917,                 2.1174,                 2.1564,                  1.746,                0.36158,                0.45833,                0.27852,                0.10885,                0.37333,                0.47192,                0.38796,                0.14598,                 2.5511,                 2.6275,                 2.8103,                  2.155,              0.0004948,              0.0004948,              0.0004948
                     78,                 1.8009,                 2.0106,                  2.166,                 1.6271,                0.41798,                0.47916,                0.28108,                 0.1087,                 0.4323,                0.44459,                0.32641,                0.14419,                 2.5447,                 2.5877,                 2.7903,                 2.1556,               0.000475,               0.000475,               0.000475
                     79,                 1.8385,                 2.1168,                 1.9744,                 1.6409,                0.40179,                0.39223,                0.24204,                0.10174,                0.40333,                  0.375,                0.27457,                0.12616,                 2.5972,                 2.5603,                  2.792,                 2.1758,             0.00045519,             0.00045519,             0.00045519
                     80,                 1.9408,                 2.2448,                 2.0233,                 1.7824,                 0.3272,                0.33333,                0.21323,                0.08168,                 0.3272,                0.33333,                0.26856,                0.11512,                 2.6836,                 2.5507,                 2.7727,                 2.2305,             0.00043539,             0.00043539,             0.00043539
                     81,                 1.8849,                 2.1089,                  2.114,                 1.7797,                0.29619,                0.33333,                0.20186,                0.07315,                0.36153,                  0.375,                0.28074,                0.11399,                 2.6946,                 2.5507,                 2.7443,                 2.2407,             0.00041558,             0.00041558,             0.00041558
                     82,                 1.7121,                 1.8738,                 1.9166,                 1.6635,                0.29266,                0.34508,                0.20325,                0.08191,                0.32362,                  0.375,                0.29343,                0.12233,                 2.6352,                 2.5709,                 2.6808,                 2.1871,             0.00039578,             0.00039578,             0.00039578
                     83,                    1.8,                 1.8636,                  1.803,                 1.6327,                0.33033,                  0.375,                0.24111,                0.08355,                0.34796,                  0.375,                0.33991,                0.13408,                 2.6026,                 2.5938,                 2.6616,                  2.151,             0.00037597,             0.00037597,             0.00037597
                     84,                 1.8022,                 2.2445,                 1.9323,                  1.663,                0.36737,                  0.375,                0.24362,                 0.0921,                0.45799,                0.45833,                 0.3389,                0.14409,                 2.5249,                 2.6529,                 2.5731,                 2.1098,             0.00035617,             0.00035617,             0.00035617
                     85,                 1.7447,                 1.9562,                 1.8668,                 1.6633,                0.28896,                0.45833,                0.22134,                0.09403,                0.55707,                0.41667,                0.36245,                0.13611,                 2.5533,                 2.6667,                 2.6137,                 2.1609,             0.00033636,             0.00033636,             0.00033636
                     86,                 1.8017,                  1.935,                 2.0454,                 1.6313,                0.29709,                0.41667,                0.20065,                 0.0927,                0.49493,                0.45833,                0.35556,                0.12399,                 2.5105,                 2.6811,                 2.6657,                 2.1004,             0.00031656,             0.00031656,             0.00031656
                     87,                 1.8293,                 2.0061,                 1.8793,                 1.6832,                 0.3043,                0.41667,                0.21725,                0.09681,                 0.4773,                0.45833,                0.37716,                0.13361,                 2.5057,                 2.6781,                 2.7117,                 2.0925,             0.00029675,             0.00029675,             0.00029675
                     88,                 1.6825,                 2.0359,                 1.7568,                 1.5799,                0.37783,                0.45833,                0.25449,                0.11068,                0.45631,                0.54167,                0.36895,                0.14932,                 2.4448,                 2.7564,                 2.8767,                 2.0512,             0.00027695,             0.00027695,             0.00027695
                     89,                 1.7654,                 1.9495,                  1.851,                 1.6048,                0.35053,                0.45833,                0.29115,                0.10994,                0.37669,                0.45833,                0.33127,                0.14207,                 2.4508,                 2.7943,                 2.9396,                 2.0699,             0.00025714,             0.00025714,             0.00025714
